chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,origin_sample,LABEL
0.33552602,0.037667826,1493.5436023723685,1712.0746273075908,2493.691739169034,0.08237526633522728,-312.3557,139.79979,13.326173,18.72643,-4.621014,3.319541,-8.04663,-5.65826,-3.6272972,-2.9257784,-17.10575,1.4535826,-2.1102967,-8.273794,-4.360196,-4.5378146,-8.843844,1.1379867,-8.757024,2.805373,extracted_segment_biden_AI,NEW_FAKE
0.452773,0.019394904,1154.1286220881009,1710.7056776445272,2014.822665127841,0.04505504261363636,-387.97946,156.26797,0.80815357,8.470036,21.329866,-0.5342708,-6.3680954,2.542972,-3.1090937,-4.204249,-1.3598526,4.1223507,-0.877064,-5.2538633,-4.233088,-0.2759619,-4.4042697,-2.7859554,-4.684155,-0.00061046536,extracted_segment_biden_AI,NEW_FAKE
0.3851359,0.037114076,1936.9860821870498,1867.6518445541064,3406.6506125710225,0.09469327059659091,-329.24142,110.79565,8.3169155,34.295494,5.559795,1.9816128,-8.3041115,4.7930384,-12.834158,1.45547,-13.607178,0.66955656,-3.8549683,-1.1052307,-1.1484904,0.898596,-7.6492076,-3.0095434,0.4413315,-0.05112454,extracted_segment_biden_AI,NEW_FAKE
0.32916874,0.034087162,1764.3944708860136,2028.9164443180946,3295.803555575284,0.08162064985795454,-324.65244,109.65579,0.6638202,38.04916,19.8066,7.8178177,-9.074223,-13.973136,-16.000805,0.3460684,-17.228157,-5.940764,-7.0398254,-1.2715542,-2.1600428,2.389002,-8.235205,-4.0340986,1.8920804,4.850721,extracted_segment_biden_AI,NEW_FAKE
0.2881118,0.0039185956,903.5598629698318,1250.482449584608,1704.7934792258523,0.041093306107954544,-523.59204,219.98413,-22.873487,6.6178727,33.378567,-5.696928,-4.13141,9.122919,-8.034913,2.080827,4.0848894,0.6680386,6.218988,7.699322,-2.9841056,0.7259749,-5.9201984,-5.024453,-4.754587,-0.9158453,extracted_segment_biden_AI,NEW_FAKE
0.30845648,0.046214644,1553.2372310912897,1778.8792562167334,2940.0163130326705,0.06368741122159091,-286.59982,134.46603,-17.754656,25.572472,32.319942,-0.23034154,-4.361629,-9.881066,-18.894112,0.12181258,-14.635706,-2.3122165,-5.7323475,-0.4228362,-11.088299,-0.807719,-11.246,-2.5274997,-7.4186187,4.9741597,extracted_segment_biden_AI,NEW_FAKE
0.5644941,0.0058435397,1132.1369936871836,1543.891377486015,2350.055486505682,0.04489968039772727,-472.22968,177.2452,-8.560868,12.781405,34.64823,-1.8596199,-1.9847941,9.285661,-6.555841,-0.90487665,0.33433324,-1.8497486,5.4435444,6.935327,-5.5563426,0.27645537,-3.049592,-4.3513393,-4.083358,2.6811597,extracted_segment_biden_AI,NEW_FAKE
0.52874595,0.012658664,2380.5938686139343,2202.589873729443,4277.766557173295,0.1398037997159091,-379.06815,103.5175,5.679801,18.035385,8.649076,10.853308,-1.847665,4.215327,-10.620581,1.4784055,-3.21457,5.4946933,3.2350228,3.9874022,-5.3556056,1.4387577,-4.5317154,-4.998038,-5.0052915,-2.3546152,extracted_segment_biden_AI,NEW_FAKE
0.36053896,0.046192225,1210.7460988465211,1630.6881147945498,2105.6046919389205,0.04590953480113636,-299.4783,161.00636,2.0334287,6.9788265,2.975756,-11.647656,-4.806352,1.5259267,-14.540261,-2.9800117,-8.174236,6.4172273,-2.0716374,-3.8873644,-8.869288,-2.362755,-11.561566,-0.2968035,-8.498033,0.417657,extracted_segment_biden_AI,NEW_FAKE
0.31425592,0.054520763,1576.8854939670935,1691.6353139192208,2631.9446910511365,0.08144309303977272,-265.22626,139.53897,1.8090782,11.046865,1.2284343,1.398549,-2.7781074,-4.463706,-15.227979,-1.8147701,-14.522007,7.70755,-7.6845336,-10.731645,-6.0064683,-0.2998043,-14.143939,-3.1209586,-8.297369,1.0154732,extracted_segment_biden_AI,NEW_FAKE
0.39007562,0.037649803,1734.70670617752,1778.977767140372,2827.456387606534,0.09815562855113637,-278.6437,133.36667,-5.4175854,5.480881,0.29603434,0.41539812,-6.2270446,-4.8305154,-11.397344,2.4073577,-8.828403,5.397643,-2.2863035,-3.7991722,-6.5643935,-3.5001001,-7.497513,-3.4530654,-6.8070774,0.5654827,extracted_segment_biden_AI,NEW_FAKE
0.324412,0.03141779,1319.9338700944666,1854.137105535741,2494.6705211292615,0.048905806107954544,-367.9433,147.34271,0.17200266,15.63743,9.317559,-10.790671,-2.290503,-1.8435658,-8.456776,1.4336985,-6.7519913,4.0215907,2.77555,1.2964901,-0.19134821,-2.1554823,-7.049341,-3.3677263,-7.2624936,-0.26199046,extracted_segment_biden_AI,NEW_FAKE
